	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.2091	0.24	0.1808	0.041	0.2585
B	0.2113	0.2439	0.1799	0.0384	0.2631
C	0.1123	0.0407	0.1332	0.0044	0.6537
D	0.1121	0.0347	0.1295	0.0	0.6582
E	0.1129	0.0707	0.2274	0.0139	0.5199
F	0.1021	0.1212	0.5411	0.0325	0.151
G	0.1689	0.3204	0.0833	0.1987	0.1323
H	0.123	0.535	0.0583	0.0632	0.0934
I	0.1257	0.5429	0.0485	0.0676	0.0895
J	0.1104	0.0	0.0985	0.0023	0.7237
K	0.1109	0.0	0.2041	0.0	0.6306
L	0.0849	0.0073	0.1005	0.0298	0.6913
