	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.08648	0.30051	0.19596	0.0	0.28957
B	0.07728	0.27858	0.21666	0.00309	0.30796
C	0.00515	0.03691	0.20041	0.00046	0.69801
D	0.00806	0.03717	0.21234	0.0	0.67186
E	0.01674	0.096	0.27761	0.0	0.49123
F	0.01373	0.12371	0.59287	0.00709	0.12145
G	0.09132	0.4284	0.0	0.12097	0.11406
H	0.05994	0.64497	0.0	0.0	0.13132
I	0.07056	0.63963	0.0	0.0	0.12871
J	0.01577	0.01058	0.11386	0.0	0.75942
K	0.00635	0.02887	0.17553	0.00746	0.7134
L	0.02172	0.02575	0.1095	0.01158	0.74467
