	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.07748	0.25091	0.2302	0.10975	0.17223	0.05072
B	0.08703	0.24643	0.22734	0.12229	0.18283	0.04891
C	0.02246	0.1206	0.24968	0.03332	0.41332	0.02787
D	0.03564	0.12512	0.25639	0.02989	0.403	0.02682
E	0.02055	0.16974	0.30123	0.05487	0.22924	0.11985
F	0.0516	0.17621	0.42233	0.1022	0.05958	0.02415
G	0.08567	0.20907	0.13282	0.32053	0.13152	0.00167
H	0.07059	0.37321	0.12651	0.0884	0.1081	0.0
I	0.06926	0.37807	0.12053	0.09594	0.12019	0.0
J	0.03984	0.00106	0.18518	0.0	0.50657	0.0
K	0.04169	0.0	0.32698	0.0	0.25816	0.14485
L	0.0	0.06656	0.14032	0.0314	0.47232	0.0
